YT-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treatment:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Egg % Viability:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Eggs Stocked:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# Fish Produced:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Suvival %:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stocking Period:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Egg Source:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tank #: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vol (L):,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,,,Physical Parameters ,,,,,,,,,,Microalgae,,,Zooplankton - Copepods ,,,,,,,,,Rotifers,,,,,,,Artemia,,,,,,,,,,,,Dry Feed,,,,Frozen Feed,,,,Siphoning,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Newly Hatched,,,,,,Enriched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culture Age (days),Date             (m/d/y),Name on duty,Temp (°C),,Salinity (ppt),,pH,,Water flow rate (lpm),Photo-period (L:D),Protocol,Comments / Adjustments to protocol,Density Added,Protocol,Comments / Adjustments to protocol,Species,Background  (#/mL),,,Density added (#/mL),,,Protocol,Comments / Adjustments to protocol,Background  (#/mL),,,Density added (#/mL),,Protocol,Comments / Adjustments to protocol,BGs #/mL,BGs /mL PM,Density added (#/mL),,,BGs /mL Noon,BGs #/mL,Density added (#/mL),,,Protocol,Comments / Adjustments to protocol,Type/Size (µm),Amount/ Times per Day,Protocol,Comments / Adjustments to protocol,Type,Amount/ Times per Day,Protocol,Comments / Adjustments to protocol,# Dead removed,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AM,PM,AM,PM,AM,PM,,,,,,,,,AM,Noon,PM,AM,Noon,PM,,,AM,Noon,PM,AM,Noon,,,Noon,,AM,Noon,PM,,PM,AM,Noon,PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8/3/25,AP,,,,,,,0,12:12,Flow at 4 LPM (1ton) or 6 LPM (4ton),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8/4/25,AP,,,,,,,0,12:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8/5/25,JB,,,,,,,0,12:12,,,,,,P. crass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8/6/25,,,,,,,,0/6,12:12,Flow OFF during day; Flow ON at 6LPM overnight (1ton) or 24 LPM (4ton),Start Algae (150k AM) and Copes (5M x 2),150k,Tiso (AM only),*aim for 150-200k cells/mL ,,,,,5,,5,Copes @ ≥5/mL (At least 2x),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8/7/25,AP/JB,,,,,,,0/6,12:12,,,150k,,,,,,,5,,5,Critical Cope Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8/8/25,AP/JB,,,,,,,0/6,12:12,,,150k,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8/9/25,JB,,,,,,,0/6,12:12,,,150k,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8/10/25,AP,,,,,,,0/6,12:12,,,150k,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8/11/25,AP,,,,,,,0/6,12:12,,,150k,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8/12/25,AP/JB,,,,,,,0/6,12:12,,,150k,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,8/13/25,AP/JB,,,,,,,0/6,12:12,,"Start Rotifers (15M), Add skimmer, 500um standpipe",150k,,,,,,,5,,5,,,,,,10+5,,Rotifers (2x)  ADD SKIMMER,Feed 15 M in AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,8/14/25,AP/JB,,,,,,,0/6,12:12,Stand Pipe to 500 micron,,150k,,,,,,,5,,5,,,,,,10+5,,,*Change Standpipe to 500 micron*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,8/15/25,JB,,,,,,,0/6,12:12,fed ENR like a dummy. 3/8 flow with PM algae in an attempt to flush artemia.,Copes to 1M x 2,150k,,,,,,,1,,1,Copes ≥1/mL (At least 2x),,,,,10+5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,8/16/25,JB,,,,,,,0/6,12:12,,Start A1,150k,,,,,,,1,,1,,,,,,10+5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Previous Average Mortalities
14,8/17/25,AP,,,,,,,0/6,12:12,,,150k,,,,,,,1,,1,,,,,,10+5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1
15,8/18/25,JB,,,,,,,0/6,12:12,,Start A2.,150k,,,,,,,1,,1,,,,,,10+5,,,,,,,,,,,,,,,Check if larvae are big enough to start NH Artemia,,,,,,,,,,,,,,,,,,,,,,,,,,,17.09375
16,8/19/25,JB,,,,,,,0/6,12:12,,"Last Day Copes, start siphoning.",150k,,,,,,,1,,1,last day for naups and eggs,extend if needed,,,,10+5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.86111111
17,8/20/25,JB,,,,,,,0/6,12:12,,,150k,,,,,,,1,,1,EXTEND IF AVAILABLE,,,,,10+5,,,,,,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.86046512
18,8/21/25,JB,,,,,,,0/6,12:12,Stand Pipe to 1000 micron,"0.05 NH, increasing as needed. 1000um Standpipe",150k,,,,,,,1,,1,,,,,,10+5,,,,,,0.2,0,0.2,,,,,,NH @.2,*Change Standpipe to 1000 micron*,,,,,,,,,,,,,,,,,,,,,,,,,,,30.34090909
19,8/22/25,KH/JB,,,,,,,0/6,12:12,,,150k,,,,,,,1,,1,,,,,,10+5,,,,,,0.2,0.2,0.2,gave 3 0.2 feeds in am and was way too much. Dropping to 0.1,,,,,increase up to 0.3/mL as needed,Note: artemia enriched with algamac 3050 instead of multigain for all tanks for last week or so?,,,,,,,,,,,,,,,,,,,,,,,,,,,20.36734694
20,8/23/25,KH,,,,,,,0/6,12:12,,*1tons = LED light intensity down to 75% ,150k,***Die Off Period***,,,,,,1,,1,,,,,,10+5,,"rotifers from Biota today, didn't receive til after 10:30, dirty but rotifers in good condition",,,,0.1,,0.1,only fed twice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.93617021
21,8/24/25,JB,,,,,,,0/6,12:12,big enough for 1000 um now,*4tons = turn off flurorescents and LED ,150k,,,,,,,1,,1,,,,,,10+5,,,,,,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.04255319
22,8/25/25,JB,,,,,,,0/6,12:12,,light intensity up to max,150k,,,,,,,1,,1,,,,,,10+5,,,,,,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.32653061
23,8/26/25,JB,,,,,,,0/6,12:12,When NH starts: flow @ 3LPM (AM) and 6LPM (PM),Last day A1,150k,,,,,,,1,,1,HARD STOP,,,,,10+5,,,,,,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.14
